location,0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
Rio Grande,31.4,d_19640101,66.9,48,15.7,6.5,1.2,0,1.7,0.1,0,0,0
Rio Grande,35.8,d_19640201,63.2,41.6,15.1,5.7,0.2,0,1,0.1,0,0,0
Rio Grande,43.9,d_19640301,54.6,38.6,15.1,4.9,0.2,0,1.5,0.5,0,0,0
Rio Grande,55.2,d_19640401,42.1,26.3,7.4,1.6,0,0,2.7,1,0,0,0
Rio Grande,35.7,d_19640501,63.3,42.3,18.3,9.8,2.2,0,1,0.8,0.3,0,0
Rio Grande,19.7,d_19640601,79.3,61.7,26.5,8.2,0.9,0,1.1,0.6,0.2,0,0
Rio Grande,21,d_19640701,78.3,59.6,34.9,18.2,5.1,0,0.7,0.2,0,0,0
Rio Grande,15.5,d_19640801,84.1,69.4,44.2,30.1,16.7,0,0.4,0,0,0,0
Rio Grande,38.2,d_19640901,55,38.5,19.1,8.7,1.1,0,6.9,3,0.6,0,0
Rio Grande,32.2,d_19641001,63.5,47.4,24.4,15.9,4,0,4.4,2,0.3,0,0
Rio Grande,29.3,d_19641101,66.3,51.8,29.2,19.1,9,0,4.3,1.9,0.1,0,0
Rio Grande,31.1,d_19641201,63.2,51.4,31.7,21.8,9.1,0,5.7,1.5,0.2,0.1,0
Rio Grande,31.8,d_19650101,61.9,51.4,34.6,22.2,10.5,0,6.3,2.1,0.1,0,0
Rio Grande,33.8,d_19650201,55.2,47.2,34.3,25.1,9.2,0,11,4.1,0.3,0.1,0
Rio Grande,35.2,d_19650301,52.4,43.3,28.2,17.3,7.2,0,12.3,6.3,0.8,0.3,0
Rio Grande,35.9,d_19650401,52.5,39.8,19.4,10.5,1,0,11.6,6.9,1.9,0.8,0
Rio Grande,48.3,d_19650501,35.3,16.3,1.6,0,0,0,16.3,7.8,2.7,0.6,0
Rio Grande,46.9,d_19650601,43.2,28.2,6.1,0.5,0,0,9.9,4.2,1.1,0.6,0.1
Rio Grande,41.2,d_19650701,39.5,21.5,4.2,0.7,0.2,0,19.3,14.3,7.7,4.1,1.3
Rio Grande,45.5,d_19650801,33.9,16.5,4,1.3,0.3,0,20.6,14.5,5.3,1.4,0.5
Rio Grande,50.8,d_19650901,23.1,8,2,0.4,0.2,0,26.1,16.9,6.5,2.9,0.7
Rio Grande,42.9,d_19651001,37.1,19,1.9,0.5,0.3,0,20.1,12,4.8,2.2,0.5
Rio Grande,34.7,d_19651101,46.5,28.5,5.9,1.5,0.3,0,18.8,11.6,3.3,1.2,0.5
Rio Grande,34.6,d_19651201,36.8,16.3,2.8,0.4,0.1,0,28.6,19.3,9.3,3.3,0.9
Rio Grande,41.8,d_19660101,30.5,12.7,1.8,0.3,0.1,0,27.7,19.1,6.8,1.4,0.4
Rio Grande,31.1,d_19660201,42,25.6,4.8,2.3,0.4,0,26.9,17.3,6.2,2.3,0.1
Rio Grande,38.8,d_19660301,48.8,35.2,8.9,3.6,0.2,0,12.4,5.7,0.5,0.1,0
Rio Grande,65.8,d_19660401,24.6,13,3.1,0.2,0,0,9.5,3.1,0.3,0.1,0
Rio Grande,61.3,d_19660501,31,13.4,0.8,0,0,0,7.6,4.8,3.3,3,1.2
Rio Grande,61.1,d_19660601,16.6,3.9,0.4,0.2,0,0,22.3,14.6,6.3,3,2
Rio Grande,55.4,d_19660701,20.5,5.6,0.9,0.4,0.1,0,24.2,15.2,4.9,2.9,1.9
Rio Grande,47,d_19660801,2.5,0.7,0.1,0,0,0,50.6,36.9,18.5,11.8,8.7
Rio Grande,51.5,d_19660901,15.6,9.2,2.6,1.1,0.1,0,32.9,17.4,9.1,5.3,0
Rio Grande,51.1,d_19661001,21.7,14.9,4.1,0.7,0,0,27.1,15.9,6.7,1.4,0.1
Rio Grande,54.8,d_19661101,22.6,16.1,4.8,1.1,0.1,0,22.5,13,5.1,0.3,0
Rio Grande,61.3,d_19661201,18.5,9.7,0.6,0,0,0,20,11.8,3.5,0.1,0
Rio Grande,58.3,d_19670101,26.9,13.4,0.8,0,0,0,14.7,7.1,0.1,0,0
Rio Grande,58.6,d_19670201,26.6,11.1,1,0.1,0,0,14.9,8.4,0,0,0
Rio Grande,36.8,d_19670301,55.7,38.4,15.4,5.5,0.8,0,7.5,2.2,0,0,0
Rio Grande,33.2,d_19670401,52.9,41.7,19.1,10.1,2.3,0,13.9,8.7,0.1,0,0
Rio Grande,14.3,d_19670501,84.9,80.4,63.4,49.6,28.2,0,0.9,0,0,0,0
